time,high,Currency,Coin,low,open,volumefrom,volumeto,close,conversionType,timestamp_date,timestamp_Year
1598486400,387.86,USD,ETH,377.32,385.98,841628.48,322334008.91,382.99,multiply,2020-08-27,2020
1598572800,398.08,USD,ETH,388.28,382.99,713748.95,282317937.64,395.54,multiply,2020-08-28,2020
1598659200,404.11,USD,ETH,392.52,395.54,623460.61,248727540.47,398.95,multiply,2020-08-29,2020
1598745600,430.11,USD,ETH,407.15,398.95,990688.35,425180515.49,429.18,multiply,2020-08-30,2020
1598832000,436.58,USD,ETH,420.61,429.18,1167183.52,506717370.21,434.14,multiply,2020-08-31,2020
1598918400,483.63,USD,ETH,442.6,434.14,1764604.57,839941536.91,475.99,multiply,2020-09-01,2020
1599004800,481.22,USD,ETH,421.58,475.81,892744.77,399846874.92,439.83,direct,2020-09-02,2020
1599091200,450.71,USD,ETH,374.19,439.83,1147290.59,473102908.76,382.46,direct,2020-09-03,2020
1599177600,400.18,USD,ETH,364.11,382.46,622038.92,239570368.52,385.91,direct,2020-09-04,2020
1599264000,394.66,USD,ETH,310.93,385.91,1499688.45,522017043.23,335.24,direct,2020-09-05,2020
1599350400,360.31,USD,ETH,316.82,335.24,958760.77,327280613.14,352.69,direct,2020-09-06,2020
1599436800,358.54,USD,ETH,323.67,352.69,693531.32,238264362.56,353.7,direct,2020-09-07,2020
1599523200,356.57,USD,ETH,325.75,353.7,655015.89,222558039.13,337.45,direct,2020-09-08,2020
1599609600,359.2,USD,ETH,331.01,337.45,547236.41,190044274.6,351.15,direct,2020-09-09,2020
1599696000,377.54,USD,ETH,350.44,351.15,674808.42,248139178.76,368.09,direct,2020-09-10,2020
1599782400,375.31,USD,ETH,356.15,368.09,441319.3,161816528.74,373.99,direct,2020-09-11,2020
1599868800,388.14,USD,ETH,369.96,374.03,698082.56,270883063.04,388.04,multiply,2020-09-12,2020
1599955200,383.85,USD,ETH,357.71,388.04,1034609.9,378959151.0,366.28,multiply,2020-09-13,2020
1600041600,382.82,USD,ETH,370.75,366.28,1111989.07,419514214.33,377.26,multiply,2020-09-14,2020
1600128000,382.28,USD,ETH,362.54,377.26,872072.14,317572911.45,364.16,multiply,2020-09-15,2020
1600214400,370.9,USD,ETH,363.23,364.16,779983.24,284764527.24,365.09,multiply,2020-09-16,2020
1600300800,394.57,USD,ETH,364.04,365.09,1409168.77,548924125.68,389.54,multiply,2020-09-17,2020
1600387200,391.69,USD,ETH,379.76,389.54,1017844.84,391327582.63,384.47,multiply,2020-09-18,2020
1600473600,389.7,USD,ETH,382.61,384.47,646138.01,248935189.81,385.27,multiply,2020-09-19,2020
1600560000,380.84,USD,ETH,369.05,385.27,717282.81,266122857.13,371.02,multiply,2020-09-20,2020
1600646400,376.42,USD,ETH,332.74,371.06,675272.56,235743740.73,340.19,direct,2020-09-21,2020
1600732800,346.8,USD,ETH,335.89,340.19,387847.54,132686320.89,344.25,direct,2020-09-22,2020
1600819200,344.61,USD,ETH,314.7,344.25,492135.39,163392957.36,320.19,direct,2020-09-23,2020
1600905600,352.84,USD,ETH,317.14,320.19,530250.06,178780604.82,349.18,direct,2020-09-24,2020
1600992000,358.04,USD,ETH,338.01,349.18,455676.68,158007481.04,352.02,direct,2020-09-25,2020
1601078400,355.52,USD,ETH,348.76,352.05,517452.21,183296884.19,354.23,multiply,2020-09-26,2020
1601164800,361.72,USD,ETH,353.42,354.23,548129.55,196081931.5,357.73,multiply,2020-09-27,2020
1601251200,368.15,USD,ETH,352.09,357.67,338025.49,122046214.19,354.01,direct,2020-09-28,2020
1601337600,360.59,USD,ETH,350.49,354.01,301692.93,107212650.86,359.92,direct,2020-09-29,2020
1601424000,361.43,USD,ETH,355.4,359.82,519993.66,187102579.35,359.82,multiply,2020-09-30,2020
1601510400,359.37,USD,ETH,350.66,359.82,679105.54,239865351.68,353.21,multiply,2020-10-01,2020
1601596800,354.28,USD,ETH,334.71,353.09,405076.24,138979278.48,345.83,direct,2020-10-02,2020
1601683200,349.91,USD,ETH,344.31,345.96,403367.62,139693448.38,346.32,multiply,2020-10-03,2020
1601769600,353.57,USD,ETH,348.34,346.32,336496.16,118652727.18,352.61,multiply,2020-10-04,2020
1601856000,357.64,USD,ETH,353.32,352.61,392691.17,138916761.21,353.76,multiply,2020-10-05,2020
1601942400,355.32,USD,ETH,336.93,353.84,324629.12,112291749.41,340.85,direct,2020-10-06,2020
1602028800,342.87,USD,ETH,333.27,340.85,341462.64,115694720.97,341.91,direct,2020-10-07,2020
1602115200,353.4,USD,ETH,334.35,341.91,295984.38,102219748.95,351.2,direct,2020-10-08,2020
1602201600,368.51,USD,ETH,347.19,351.2,336130.72,120746450.13,365.41,direct,2020-10-09,2020
1602288000,378.52,USD,ETH,365.2,365.41,253908.73,94915521.94,370.88,direct,2020-10-10,2020
1602374400,376.42,USD,ETH,371.75,370.8,405554.05,151826472.42,374.37,multiply,2020-10-11,2020
1602460800,395.22,USD,ETH,365.82,374.4,369132.22,140830030.43,386.91,direct,2020-10-12,2020
1602547200,387.82,USD,ETH,374.78,386.91,255939.5,97704716.98,381.41,direct,2020-10-13,2020
1602633600,384.25,USD,ETH,377.28,381.21,478125.8,181262215.14,379.11,multiply,2020-10-14,2020
1602720000,383.69,USD,ETH,377.36,379.11,591728.69,223497544.12,377.7,multiply,2020-10-15,2020
