time,high,low,open,volumefrom,volumeto,close,conversionType,Datetime,Year
1474588800,603.7,594.11,595.63,25921.89,15567036.24,602.92,direct,2016-09-23,2016
1474675200,605.92,600.5,602.92,13472.8,8196210.74,602.59,direct,2016-09-24,2016
1474761600,604.87,598.35,602.59,13278.03,8038079.81,601.49,direct,2016-09-25,2016
1474848000,608.46,598.17,601.49,27504.57,16700407.53,606.54,direct,2016-09-26,2016
1474934400,608.97,601.73,606.54,25546.7,15534315.77,605.47,direct,2016-09-27,2016
1475020800,606.9,602.62,605.47,18936.2,11485005.36,604.67,direct,2016-09-28,2016
1475107200,607.23,602.01,604.67,25321.05,15403975.48,604.7,direct,2016-09-29,2016
1475193600,608.78,602.25,604.7,23952.58,14534745.84,608.14,direct,2016-09-30,2016
1475280000,615.0,607.07,608.14,16932.63,10415543.03,613.41,direct,2016-10-01,2016
1475366400,614.21,607.67,613.41,16534.52,10096653.77,610.69,direct,2016-10-02,2016
1475452800,613.2,608.47,610.69,21946.12,13462741.8,611.6,direct,2016-10-03,2016
1475539200,612.68,606.5,611.6,24993.32,15300692.52,608.96,direct,2016-10-04,2016
1475625600,613.65,607.98,608.96,23401.3,14360536.88,611.82,direct,2016-10-05,2016
1475712000,612.68,608.54,611.82,21625.57,13276337.45,610.97,direct,2016-10-06,2016
1475798400,619.43,609.12,610.97,32725.06,20167399.2,616.03,direct,2016-10-07,2016
1475884800,619.56,614.88,616.03,13620.86,8467434.0,617.65,direct,2016-10-08,2016
1475971200,618.35,613.01,617.65,13430.26,8320759.4,615.77,direct,2016-10-09,2016
1476057600,618.81,612.76,615.77,25230.93,15597892.34,617.29,direct,2016-10-10,2016
1476144000,642.35,615.6,617.29,55765.89,35367127.91,640.45,direct,2016-10-11,2016
1476230400,642.51,632.19,640.45,26952.73,17240000.95,635.99,direct,2016-10-12,2016
1476316800,639.52,632.25,635.99,25614.65,16387361.92,635.6,direct,2016-10-13,2016
1476403200,640.46,630.66,635.6,31421.75,20114873.61,637.92,direct,2016-10-14,2016
1476489600,641.4,635.06,637.92,12381.25,7970927.57,637.03,direct,2016-10-15,2016
1476576000,642.18,636.39,637.03,12886.16,8306925.43,640.12,direct,2016-10-16,2016
1476662400,641.29,634.89,640.12,27691.09,17742610.19,637.37,direct,2016-10-17,2016
1476748800,639.34,632.23,637.37,24598.13,15725013.13,635.34,direct,2016-10-18,2016
1476835200,637.27,624.09,635.34,35289.02,22379197.69,629.06,direct,2016-10-19,2016
1476921600,630.83,625.48,629.06,20943.99,13252110.98,628.34,direct,2016-10-20,2016
1477008000,633.26,627.58,628.34,28087.96,17836383.25,630.45,direct,2016-10-21,2016
1477094400,659.89,629.72,630.45,37097.19,24154228.12,655.48,direct,2016-10-22,2016
1477180800,661.2,648.78,655.48,21907.32,14418212.04,653.03,direct,2016-10-23,2016
1477267200,654.32,645.68,653.03,33243.05,21726106.55,650.49,direct,2016-10-24,2016
1477353600,662.54,647.65,650.49,36742.93,24179462.12,651.0,direct,2016-10-25,2016
1477440000,678.39,651.39,651.0,47670.4,31949607.32,674.67,direct,2016-10-26,2016
1477526400,687.88,672.26,674.67,46557.39,31862181.34,682.3,direct,2016-10-27,2016
1477612800,688.43,678.63,682.3,38968.34,26829414.0,686.24,direct,2016-10-28,2016
1477699200,720.19,685.22,686.24,54028.31,38351348.64,714.95,direct,2016-10-29,2016
1477785600,714.91,689.51,714.95,39328.5,27793236.64,697.27,direct,2016-10-30,2016
1477872000,707.21,682.17,697.27,38046.55,26687188.09,698.67,direct,2016-10-31,2016
1477958400,734.36,695.2,698.67,68064.91,49453950.69,726.76,direct,2016-11-01,2016
1478044800,735.78,718.14,726.76,39043.27,28452232.03,733.51,direct,2016-11-02,2016
1478131200,744.43,670.4,733.51,96409.44,69067917.54,684.87,direct,2016-11-03,2016
1478217600,706.64,681.27,684.87,48235.17,33762721.43,702.08,direct,2016-11-04,2016
1478304000,706.38,694.03,702.08,22018.95,15554565.72,702.11,direct,2016-11-05,2016
1478390400,714.13,697.63,702.11,25809.88,18363567.63,709.91,direct,2016-11-06,2016
1478476800,711.66,698.35,709.91,30743.71,21797370.12,705.4,direct,2016-11-07,2016
1478563200,714.63,700.96,705.4,39732.33,28262235.71,710.9,direct,2016-11-08,2016
